	District	Population	Code	Latitude	Longitude	VenueName	VenueId	VenueLatitude	VenueLongitude	VenueCategory
30	Bang Bon	105161	50	13.6665033	100.4288593	ข้าวต้มม้วน	4ec7d62f0e6158bafef41324	13.666549703837228	100.41210830038422	Thai Restaurant
31	Bang Bon	105161	50	13.6665033	100.4288593	Fuji (ฟูจิ)	4d15cdc9816af04d129f45c2	13.664001785073967	100.4377598487043	Japanese Restaurant
32	Bang Bon	105161	50	13.6665033	100.4288593	Swensen's	512c881be4b0bbd70281b99f	13.662355301917303	100.44026717948795	Ice Cream Shop
33	Bang Bon	105161	50	13.6665033	100.4288593	MK (เอ็มเค)	4c10d2c06b7e2d7f2e272835	13.647845009354523	100.41973888076457	Hotpot Restaurant
34	Bang Bon	105161	50	13.6665033	100.4288593	เกาเหลาตี๋อ้วน	4c38d8b493db0f4714612292	13.674989818998807	100.4276453347785	Soup Place
35	Bang Bon	105161	50	13.6665033	100.4288593	Swensen's (สเวนเซ่นส์)	4c6f5fa7f52cb713a025a9af	13.64807547387768	100.41905035681802	Ice Cream Shop
36	Bang Bon	105161	50	13.6665033	100.4288593	Swensen's (สเวนเซ่นส์)	502f915ce4b0b025947f0e92	13.664300852421562	100.4389152613467	Ice Cream Shop
37	Bang Bon	105161	50	13.6665033	100.4288593	Squeeze by Tipco (สควีซ)	4ba3a312f964a5208d4e38e3	13.664055254280951	100.43757206449253	Juice Bar
38	Bang Bon	105161	50	13.6665033	100.4288593	ครัวชาวใต้	4c6cbbe9c7edb713e2b011e7	13.661324895258407	100.43442902998439	Thai Restaurant
39	Bang Bon	105161	50	13.6665033	100.4288593	Foodland (ฟู้ดแลนด์)	564c903c498ec148d91c3d14	13.668888562584582	100.45245288492562	Supermarket
40	Bang Bon	105161	50	13.6665033	100.4288593	Mister Donut (มิสเตอร์ โดนัท)	4ead3eff77c8cdc66d3be2d2	13.66425185345577	100.43903342094632	Donut Shop
41	Bang Bon	105161	50	13.6665033	100.4288593	Jiang Fish Ball (เจียงลูกชิ้นปลา)	4d2974eb6e27a14379322524	13.664075057121941	100.43772619024207	Noodle House
42	Bang Bon	105161	50	13.6665033	100.4288593	Koff & Bun By ไต้แป๊ะ	57cba5a9498ea02d4ebd80b2	13.68417	100.41411	Café
43	Bang Bon	105161	50	13.6665033	100.4288593	Bar B Q Plaza (บาร์บีคิว พลาซ่า)	4bab5819f964a5200ba23ae3	13.647877065227192	100.419726000584	BBQ Joint
44	Bang Bon	105161	50	13.6665033	100.4288593	Kabocha Sushi	56a37dfb498ef4b16c5acc28	13.668906377595608	100.45229260395347	Sushi Restaurant
45	Bang Bon	105161	50	13.6665033	100.4288593	ศูนย์กีฬาบางขุนเทียน	4d8f2f42788c5481846349fd	13.653644208591734	100.416718128855	Gym / Fitness Center
46	Bang Bon	105161	50	13.6665033	100.4288593	ตลาดวิบูลย์วิทย์	4c989c5e2778224b8c4ba568	13.6636247486421	100.44045481461404	Market
47	Bang Bon	105161	50	13.6665033	100.4288593	Cafe' Amazon บางขุนเทียนชายทะเล	4e50aa4c52b1e893ad6d5e4a	13.65058748169224	100.43135387773158	Coffee Shop
48	Bang Bon	105161	50	13.6665033	100.4288593	SC badminton court	4c6680a2aebea5935b3d73d0	13.669979896008979	100.44941648747042	Badminton Court
49	Bang Bon	105161	50	13.6665033	100.4288593	Year of the Cat Cafe	53d46d0a498e47aac143966a	13.685380420950015	100.42013556102712	Pet Café
50	Bang Bon	105161	50	13.6665033	100.4288593	Holland Beer (โรงเบียร์ฮอลแลนด์)	4c5d37e42815c928eb38b467	13.664117	100.44100100000003	Brewery
51	Bang Bon	105161	50	13.6665033	100.4288593	KFC	570f0a1bcd109301f16f70fa	13.670448678677953	100.40550238899579	Fast Food Restaurant
52	Bang Bon	105161	50	13.6665033	100.4288593	TPD Bowling	52a0891811d20bdfe3d3ed2d	13.663977068164362	100.40896539994517	Bowling Alley
53	Bang Bon	105161	50	13.6665033	100.4288593	อาอู๊กี่ บะหมี่เกี๊ยว	4cd234d83e63721e3e4ca8cc	13.682228527748192	100.44048069279168	Noodle House
54	Bang Bon	105161	50	13.6665033	100.4288593	Burger King (เบอร์เกอร์คิง)	5884172803e29a6e0f77197e	13.67083023397987	100.40508941381118	Fast Food Restaurant
55	Bang Bon	105161	50	13.6665033	100.4288593	Burger King (เบอร์เกอร์ คิง)	56494f86498ef53f74dba4cd	13.669395744016592	100.45154352548985	Fast Food Restaurant
56	Bang Bon	105161	50	13.6665033	100.4288593	Black Canyon (แบล็คแคนยอน)	4c57cafeb1369521b099735a	13.664128025691744	100.43787938882542	Café
57	Bang Bon	105161	50	13.6665033	100.4288593	HomePro (โฮมโปร)	4db3e41093a017099dcdfb84	13.662829035278396	100.44290103138785	Furniture / Home Store
58	Bang Bon	105161	50	13.6665033	100.4288593	โรงเหล้าแสงจันทร์	4bc1e2552a89ef3bebd1f288	13.65704969362743	100.42933931475886	Bar
59	Bang Bon	105161	50	13.6665033	100.4288593	Health Land (เฮลท์แลนด์)	4d4aa9f8f53c8cfa35802547	13.670070999573351	100.45283384325703	Massage Studio
60	Bang Bon	105161	50	13.6665033	100.4288593	Dream Chill&Louge outdoor	542ecf4d498e591cd8904fcd	13.652578379389242	100.44333354419342	Lounge
61	Bang Bon	105161	50	13.6665033	100.4288593	Green Day Night Market Rama 2 (ตลาดกรีนเดย์ไนท์ พระราม 2)	54c22f11498e4624308b2026	13.66460119171586	100.4412536804172	Night Market
62	Bang Bon	105161	50	13.6665033	100.4288593	Starbucks (สตาร์บัคส์)	57668344498ea21c0ae58946	13.694459519051328	100.40811061891607	Coffee Shop
63	Bang Bon	105161	50	13.6665033	100.4288593	Swensen's (สเวนเซ่นส์)	4db6cb926e8179a913aa5cd1	13.679087876167829	100.43596624762671	Ice Cream Shop
64	Bang Bon	105161	50	13.6665033	100.4288593	Sa-ard Sa-voey (สอาดเสวย)	4e41c8a518a8627fce3ef3b4	13.674646421804518	100.40664463663623	Noodle House
65	Bang Bon	105161	50	13.6665033	100.4288593	ตลาดนัดสินทวี	4c819828e602b1f745a6947a	13.668091978793667	100.45739137812373	Flea Market
66	Bang Bon	105161	50	13.6665033	100.4288593	INDEX Living Mall Head Office	4b8f6bb8f964a5200f5433e3	13.670947909876228	100.44510191927534	Coworking Space
67	Bang Bon	105161	50	13.6665033	100.4288593	ศูนย์รวมยา	4c8dc38fd2aea093c1c3c869	13.649758811922831	100.42122849106256	Pharmacy
68	Bang Bon	105161	50	13.6665033	100.4288593	ขาหมูบางหว้า	4e880a81f790e992e01d7284	13.657136	100.39523	Thai Restaurant
69	Bang Bon	105161	50	13.6665033	100.4288593	สเต๊กลุงหนวด | พระราม2ซ.50	4e785fc6887738167d5793b8	13.666401830377529	100.44221623168362	Steakhouse
70	Bang Bon	105161	50	13.6665033	100.4288593	ไทวัสดุ พระราม 2	5750f03f498e458bc5d9ca2c	13.652278815062814	100.42330809480592	Construction & Landscaping
71	Bang Bon	105161	50	13.6665033	100.4288593	บิ๊กจ๊อดชวนชิม	4cd687bf886cb60c13628a89	13.692416928258934	100.42304951116269	Thai Restaurant
72	Bang Bon	105161	50	13.6665033	100.4288593	ลาบร้อยเอ็ดสาขา 1	4c72582f57b6a1439c27c5cc	13.650738521178813	100.41858973894409	Asian Restaurant
73	Bang Bon	105161	50	13.6665033	100.4288593	Wine Connection	56754ff1498e1b7d9737b82a	13.668932322777083	100.45237150899489	Wine Shop
74	Bang Bon	105161	50	13.6665033	100.4288593	ร้านต้นไม้ ริมถนนกาญจนาภิเษก	4bf8e392508c0f4796f13e31	13.654097765779557	100.40505418435022	Garden Center
75	Bang Bon	105161	50	13.6665033	100.4288593	หนองใหญ่	4bb70b2a6edc76b027c3311c	13.695171466084249	100.42207717895508	Thai Restaurant
76	Bang Bon	105161	50	13.6665033	100.4288593	Sricharoen Funiture (หจก.ศรีเจริญครุภัณฑ์ (โรงงานเฟอร์นิเจอร์))	4ff1418de4b09c09cb405baa	13.638194864891437	100.41649797817632	Factory
77	Bang Bon	105161	50	13.6665033	100.4288593	ก๋วยเตี๋ยวเบตง	4d60f910e4fe54810680869e	13.6415415	100.44262	Noodle House
78	Bang Bon	105161	50	13.6665033	100.4288593	Starbucks	5b373190ca18ea002c01b107	13.694636066410691	100.43632648603547	Coffee Shop
79	Bang Bon	105161	50	13.6665033	100.4288593	อิ่มทิพย์ เย็นตาโฟต้มยำ	4d8448ce61676dcb30726fe4	13.68370435411816	100.44319645801795	Noodle House
80	Bang Bon	105161	50	13.6665033	100.4288593	ศาลเจ้าแม่กวนอิม บางขุนเทียน	4cf326d5899c6ea80154fac1	13.644853634330211	100.4315388903151	Shrine
81	Bang Bon	105161	50	13.6665033	100.4288593	Three Mangoes (ทรี แมงโก้)	4ccac7a382bfa35dccc854c9	13.687191939230317	100.40773887176992	Beer Garden
